0,1957.97,13.75
5,2077.02,14.28
10,2070.41,13.29
15,2072.61,11.92
20,2072.61,10.63
25,2070.41,9.41
30,2068.2,8.38
35,2070.41,7.51
40,2099.07,6.84
45,2112.29,6.42
50,2129.93,6.07
55,2132.13,5.75
60,2143.16,5.44
65,2151.97,5.2
70,2158.59,4.97
75,2160.79,4.77
80,2158.59,4.58
85,2160.79,4.36
90,2176.23,4.25
95,2176.23,4.16
100,2176.23,4.04
105,2178.43,3.93
110,2180.63,3.8
115,2176.23,3.73
120,2174.02,3.61
125,2174.02,3.5
130,2169.61,3.41
135,2171.82,3.33
140,2171.82,3.26
145,2178.43,3.18
150,2169.61,3.13
155,2169.61,3.08
160,2169.61,3.02
165,2167.41,3
170,2167.41,2.95
175,2167.41,2.93
180,2165.2,2.92
185,2163,2.91
190,2167.41,2.86
195,2163,2.84
200,2163,2.8
205,2163,2.79
210,2163,2.78
215,2160.79,2.75
220,2163,2.75
225,2163,2.73
230,2160.79,2.73
235,2160.79,2.72
240,2160.79,2.73
245,2160.79,2.69
250,2158.59,2.71
255,2163,2.66
260,2160.79,2.71
265,2160.79,2.67
270,2160.79,2.66
275,2158.59,2.66
280,2158.59,2.66
285,2158.59,2.66
290,2158.59,2.63
295,2156.38,2.64
300,2158.59,2.6
305,2156.38,2.62
310,2156.38,2.6
315,2154.18,2.61
320,2154.18,2.61
325,2154.18,2.57
330,2154.18,2.58
335,2156.38,2.58
340,2156.38,2.59
345,2154.18,2.55
350,2154.18,2.57
355,2151.97,2.56
360,2154.18,2.55
365,2151.97,2.55
370,2156.38,2.55
375,2151.97,2.55
380,2154.18,2.54
385,2149.77,2.54
390,2149.77,2.5
395,2151.97,2.51
400,2151.97,2.51
405,2151.97,2.5
410,2149.77,2.5
415,2151.97,2.49
420,2149.77,2.49
425,2149.77,2.49
430,2151.97,2.49
435,2147.57,2.47
440,2147.57,2.45
445,2149.77,2.49
450,2149.77,2.46
455,2149.77,2.49
460,2147.57,2.45
465,2147.57,2.42
470,2145.36,2.46
475,2147.57,2.44
480,2145.36,2.44
485,2143.16,2.41
490,2147.57,2.42
495,2147.57,2.43
500,2147.57,2.43
505,2147.57,2.42
510,2143.16,2.41
515,2145.36,2.42
520,2143.16,2.4
525,2145.36,2.39
530,2143.16,2.41
535,2145.36,2.38
540,2145.36,2.39
545,2145.36,2.38
550,2145.36,2.37
555,2143.16,2.38
560,2140.95,2.36
565,2145.36,2.38
570,2140.95,2.36
575,2145.36,2.36
580,2143.16,2.35
585,2143.16,2.35
590,2143.16,2.34
595,2140.95,2.35
600,2143.16,2.32
605,2143.16,2.34
610,2143.16,2.33
615,2140.95,2.32
620,2143.16,2.33
625,2143.16,2.33
630,2140.95,2.3
635,2140.95,2.33
640,2140.95,2.33
645,2143.16,2.3
650,2140.95,2.31
655,2140.95,2.31
660,2138.75,2.3
665,2140.95,2.29
670,2140.95,2.29
675,2140.95,2.29
680,2138.75,2.29
685,2134.34,2.31
690,2138.75,2.28
695,2136.54,2.28
700,2140.95,2.27
705,2138.75,2.3
710,2138.75,2.28
715,2136.54,2.26
720,2140.95,2.24
725,2136.54,2.26
730,2138.75,2.26
735,2138.75,2.27
